iter	Passed	Remaining
428	1806	2404
429	1810	2400
430	1815	2397
431	1820	2393
432	1824	2388
433	1828	2384
434	1832	2379
435	1836	2375
436	1840	2371
437	1844	2366
438	1848	2362
439	1852	2358
440	1857	2354
441	1861	2350
442	1865	2345
443	1869	2341
444	1874	2337
445	1878	2333
446	1882	2328
447	1886	2324
448	1890	2320
449	1894	2315
450	1898	2311
451	1902	2306
452	1906	2302
453	1910	2297
454	1914	2293
455	1919	2289
456	1922	2284
457	1926	2280
458	1931	2276
459	1935	2271
460	1939	2267
461	1943	2263
462	1948	2259
463	1952	2255
464	1956	2251
465	1961	2247
466	1965	2242
467	1969	2238
468	1973	2234
469	1977	2229
470	1981	2225
471	1985	2221
472	1989	2217
473	1994	2212
474	1998	2208
475	2002	2204
476	2006	2200
477	2010	2195
478	2014	2191
479	2018	2186
480	2023	2182
481	2027	2179
482	2031	2174
483	2035	2170
484	2039	2166
485	2043	2161
486	2047	2157
487	2051	2152
488	2056	2148
489	2060	2144
490	2064	2140
491	2068	2136
492	2073	2131
493	2077	2127
494	2081	2123
495	2086	2120
496	2090	2116
497	2095	2112
498	2099	2108
499	2103	2103
500	2107	2099
501	2112	2095
502	2116	2091
503	2120	2086
504	2124	2082
505	2130	2079
506	2134	2076
507	2139	2071
508	2144	2068
509	2148	2064
510	2152	2059
511	2156	2055
512	2160	2051
513	2164	2046
514	2168	2042
515	2173	2038
516	2177	2034
517	2182	2030
518	2186	2026
519	2190	2021
520	2194	2017
521	2198	2012
522	2202	2009
523	2207	2005
524	2211	2000
525	2215	1996
526	2220	1992
527	2224	1988
528	2228	1984
529	2233	1980
530	2237	1976
531	2241	1971
532	2245	1967
533	2249	1963
534	2253	1958
535	2257	1954
536	2261	1950
537	2266	1945
538	2270	1941
539	2274	1937
540	2278	1933
541	2282	1929
542	2287	1924
543	2291	1920
544	2295	1916
545	2299	1911
546	2303	1907
547	2307	1903
548	2311	1898
549	2315	1894
550	2319	1890
551	2324	1886
552	2328	1881
553	2332	1877
554	2336	1873
555	2340	1869
556	2344	1865
557	2349	1860
558	2353	1856
559	2358	1853
560	2363	1849
561	2367	1845
562	2371	1840
563	2375	1836
564	2379	1832
565	2384	1828
566	2388	1823
567	2392	1819
568	2396	1815
569	2401	1811
570	2404	1806
571	2408	1802
572	2412	1798
573	2417	1793
574	2421	1789
575	2425	1785
576	2429	1781
577	2433	1776
578	2438	1772
579	2442	1768
580	2446	1764
581	2450	1760
582	2455	1756
583	2459	1751
584	2463	1747
585	2467	1743
586	2471	1738
587	2475	1734
588	2480	1730
589	2484	1726
590	2488	1721
591	2494	1718
592	2498	1714
593	2502	1710
594	2506	1706
595	2511	1702
596	2515	1697
597	2519	1693
598	2523	1689
599	2527	1684
600	2531	1680
601	2535	1676
602	2539	1672
603	2544	1668
604	2548	1664
605	2553	1660
606	2559	1657
607	2563	1653
608	2568	1648
609	2572	1644
610	2576	1640
611	2581	1636
612	2585	1632
613	2590	1628
614	2594	1624
615	2599	1620
616	2603	1615
617	2607	1611
618	2611	1607
619	2616	1603
620	2620	1599
621	2624	1594
622	2629	1590
623	2633	1586
624	2637	1582
625	2642	1578
626	2646	1574
627	2650	1569
628	2654	1565
629	2658	1561
630	2662	1556
631	2666	1552
632	2670	1548
633	2674	1544
634	2679	1540
635	2683	1535
636	2687	1531
637	2691	1527
638	2695	1522
639	2699	1518
640	2704	1514
641	2708	1510
642	2712	1505
643	2716	1501
644	2720	1497
645	2724	1492
646	2728	1488
647	2732	1484
648	2736	1480
649	2740	1475
650	2744	1471
651	2748	1467
652	2753	1463
653	2757	1458
654	2761	1454
655	2765	1450
656	2770	1446
657	2774	1441
658	2778	1437
659	2782	1433
660	2787	1429
661	2791	1425
662	2795	1420
663	2799	1416
664	2803	1412
665	2807	1407
666	2811	1403
667	2815	1399
668	2819	1395
669	2823	1390
670	2828	1386
671	2832	1382
672	2836	1378
673	2840	1373
674	2844	1369
675	2849	1365
676	2853	1361
677	2857	1357
678	2861	1352
679	2866	1348
680	2870	1344
681	2874	1340
682	2878	1335
683	2882	1331
684	2886	1327
685	2890	1322
686	2894	1318
687	2898	1314
688	2902	1310
689	2907	1306
690	2911	1301
691	2915	1297
692	2919	1293
693	2923	1289
694	2927	1284
695	2932	1280
696	2936	1276
697	2940	1272
698	2944	1267
699	2948	1263
700	2952	1259
701	2956	1255
702	2961	1251
703	2971	1249
704	2979	1246
705	2986	1243
706	2994	1241
707	3000	1237
708	3009	1235
709	3014	1231
710	3018	1226
711	3022	1222
712	3026	1218
713	3030	1214
714	3034	1209
715	3038	1205
716	3044	1201
717	3048	1197
718	3052	1192
719	3056	1188
720	3060	1184
721	3064	1179
722	3068	1175
723	3072	1171
724	3076	1167
725	3080	1162
726	3084	1158
727	3088	1154
728	3093	1149
729	3097	1145
730	3101	1141
731	3106	1137
732	3110	1132
733	3114	1128
734	3118	1124
735	3123	1120
736	3127	1115
737	3131	1111
738	3135	1107
739	3139	1103
740	3143	1098
741	3148	1094
742	3152	1090
743	3156	1085
744	3160	1081
745	3164	1077
746	3168	1072
747	3172	1068
748	3176	1064
749	3181	1060
750	3185	1056
751	3189	1051
752	3193	1047
753	3197	1043
754	3202	1039
755	3206	1034
756	3210	1030
757	3214	1026
758	3218	1021
759	3222	1017
760	3226	1013
761	3230	1009
762	3235	1004
763	3239	1000
764	3243	996
765	3247	992
766	3251	987
767	3255	983
768	3260	979
769	3264	975
770	3268	970
771	3272	966
772	3276	962
773	3281	958
774	3285	953
775	3289	949
776	3293	945
777	3297	941
778	3301	936
779	3306	932
780	3310	928
781	3314	923
782	3319	920
783	3323	915
784	3327	911
785	3332	907
786	3336	903
787	3340	898
788	3345	894
789	3349	890
790	3353	886
791	3357	881
792	3361	877
793	3365	873
794	3369	868
795	3373	864
796	3378	860
797	3382	856
798	3386	851
799	3390	847
800	3394	843
801	3399	839
802	3402	834
803	3407	830
804	3413	826
805	3417	822
806	3422	818
807	3426	814
808	3430	809
809	3434	805
810	3438	801
811	3442	797
812	3447	792
813	3450	788
814	3456	784
815	3460	780
816	3464	775
817	3468	771
818	3472	767
819	3476	763
820	3480	758
821	3485	754
822	3489	750
823	3493	746
824	3497	741
825	3501	737
826	3505	733
827	3509	729
828	3513	724
829	3518	720
830	3522	716
831	3526	712
832	3530	707
833	3534	703
834	3538	699
835	3542	694
836	3546	690
837	3550	686
838	3554	682
839	3559	677
840	3563	673
841	3567	669
842	3571	665
843	3576	661
844	3580	656
845	3584	652
846	3588	648
847	3593	644
848	3597	639
849	3601	635
850	3606	631
851	3610	627
852	3614	622
853	3618	618
854	3622	614
855	3626	610
856	3630	605
857	3635	601
858	3639	597
859	3643	593
860	3647	588
861	3651	584
862	3655	580
863	3659	576
864	3663	571
865	3667	567
866	3672	563
867	3676	559
868	3680	554
869	3684	550
870	3688	546
871	3692	542
872	3696	537
873	3700	533
